,value_daily,value_weekly,factor,value,Open,High,Low,Close,Volume
2017-01-02,2,,4.0,8.0,11.35,11.46,11.18,11.3,1541000
2017-01-03,2,,4.0,8.0,11.40,11.69,11.38,11.45,8974600
2017-01-04,2,,4.0,8.0,11.45,11.60,11.36,11.45,7219100
2017-01-05,2,,4.0,8.0,11.45,11.55,11.42,11.42,8548600
2017-01-06,2,,4.0,8.0,11.45,11.51,11.40,11.5,3404400
2017-01-09,2,,5.0,10.0,11.48,11.65,11.38,11.6,12994500
2017-01-10,2,,5.0,10.0,11.60,12.07,11.58,12.05,10086800
2017-01-11,2,,5.0,10.0,12.14,12.20,11.70,11.98,7194900
2017-01-12,2,,5.0,10.0,12.20,12.29,11.90,12.04,13054800
2017-01-13,3,,5.0,15.0,12.00,12.00,11.63,11.79,8842200
2017-01-16,3,,5.0,15.0,11.77,11.78,11.24,11.46,4843200
2017-01-17,3,,5.0,15.0,11.72,11.84,11.65,11.73,15319900
2017-01-18,3,,5.0,15.0,11.79,12.01,11.78,11.88,7752200
2017-01-19,3,,5.0,15.0,11.92,12.00,11.76,12.0,8053600
2017-01-20,2,,5.0,10.0,11.99,12.17,11.91,12.08,16695700
2017-01-23,3,,5.0,15.0,12.08,12.14,11.82,11.94,7035300
2017-01-24,3,,5.0,15.0,11.97,12.03,11.77,12.03,6555600
2017-01-26,2,,5.0,10.0,12.05,12.12,11.91,11.97,7904100
2017-01-27,2,,5.0,10.0,11.97,11.97,11.74,11.94,7479900
2017-01-30,3,,6.0,18.0,11.88,11.95,11.70,11.95,5063600
2017-01-31,3,,6.0,18.0,11.99,12.05,11.88,11.9,5600800
2017-02-01,3,,6.0,18.0,11.96,12.41,11.94,12.33,9253300
2017-02-02,3,,6.0,18.0,12.15,12.52,12.13,12.5,7643800
2017-02-03,2,,6.0,12.0,12.47,12.57,12.35,12.46,5840900
2017-02-06,3,,6.0,18.0,12.46,12.50,11.86,12.04,8689500
2017-02-07,4,,6.0,24.0,11.52,12.04,11.29,11.89,9273900
2017-02-08,3,,6.0,18.0,11.98,12.03,11.81,11.95,5898300
2017-02-09,3,,6.0,18.0,12.00,12.10,11.86,11.91,4580100
2017-02-10,2,,6.0,12.0,11.90,12.08,11.83,12.06,4789900
2017-02-13,3,,3.0,9.0,12.12,12.24,12.05,12.15,5357500
2017-02-14,3,,3.0,9.0,12.10,12.14,11.86,12.01,8065700
2017-02-15,3,,3.0,9.0,12.01,12.27,12.01,12.2,10895300
2017-02-16,3,,3.0,9.0,12.19,12.39,12.07,12.18,5695500
2017-02-17,3,,3.0,9.0,12.17,12.21,11.98,12.05,3530700
2017-02-20,4,,6.0,24.0,12.04,12.09,11.90,11.93,3945900
2017-02-21,3,,6.0,18.0,11.97,12.05,11.90,11.9,6314100
2017-02-22,3,,6.0,18.0,11.95,11.96,11.60,11.8,8091000
2017-02-23,3,,6.0,18.0,11.91,12.15,11.83,11.9,5716400
2017-02-24,2,,6.0,12.0,11.81,11.89,11.70,11.7,4831000
