Categoria: Todas as categorias

Semana,JBS: (Todo o mundo)
2016-11-27,5
2016-12-04,6
2016-12-11,5
2016-12-18,5
2016-12-25,5
2017-01-01,4
2017-01-08,5
2017-01-15,6
2017-01-22,5
2017-01-29,6
2017-02-05,6
2017-02-12,6
2017-02-19,6
2017-02-26,5
2017-03-05,6
2017-03-12,54
2017-03-19,55
2017-03-26,10
2017-04-02,7
2017-04-09,5
2017-04-16,5
2017-04-23,5
2017-04-30,5
2017-05-07,7
2017-05-14,100
2017-05-21,66
2017-05-28,21
2017-06-04,15
2017-06-11,12
2017-06-18,14
2017-06-25,11
2017-07-02,8
2017-07-09,8
2017-07-16,7
2017-07-23,7
2017-07-30,8
2017-08-06,7
2017-08-13,6
2017-08-20,6
2017-08-27,7
2017-09-03,12
2017-09-10,15
2017-09-17,10
2017-09-24,6
2017-10-01,7
2017-10-08,5
2017-10-15,7
2017-10-22,6
2017-10-29,5
2017-11-05,6
2017-11-12,5
