date,value_daily,value_weekly,factor,value
2017-01-01,1,4.0,4.0,4.0
2017-01-02,2,,4.0,8.0
2017-01-03,2,,4.0,8.0
2017-01-04,2,,4.0,8.0
2017-01-05,2,,4.0,8.0
2017-01-06,2,,4.0,8.0
2017-01-07,1,,4.0,4.0
2017-01-08,1,5.0,5.0,5.0
2017-01-09,2,,5.0,10.0
2017-01-10,2,,5.0,10.0
2017-01-11,2,,5.0,10.0
2017-01-12,3,,5.0,15.0
2017-01-13,3,,5.0,15.0
2017-01-14,1,,5.0,5.0
2017-01-15,1,6.0,6.0,6.0
2017-01-16,3,,6.0,18.0
2017-01-17,3,,6.0,18.0
2017-01-18,3,,6.0,18.0
2017-01-19,3,,6.0,18.0
2017-01-20,2,,6.0,12.0
2017-01-21,1,,6.0,6.0
2017-01-22,1,5.0,5.0,5.0
2017-01-23,3,,5.0,15.0
2017-01-24,3,,5.0,15.0
2017-01-25,2,,5.0,10.0
2017-01-26,3,,5.0,15.0
2017-01-27,2,,5.0,10.0
2017-01-28,1,,5.0,5.0
2017-01-29,2,6.0,3.0,6.0
2017-01-30,3,,3.0,9.0
2017-01-31,3,,3.0,9.0
2017-02-01,2,,3.0,6.0
2017-02-02,3,,3.0,9.0
2017-02-03,2,,3.0,6.0
2017-02-04,2,,3.0,6.0
2017-02-05,2,6.0,3.0,6.0
2017-02-06,2,,3.0,6.0
2017-02-07,4,,3.0,12.0
2017-02-08,3,,3.0,9.0
2017-02-09,3,,3.0,9.0
2017-02-10,2,,3.0,6.0
2017-02-11,1,,3.0,3.0
2017-02-12,2,6.0,3.0,6.0
2017-02-13,3,,3.0,9.0
2017-02-14,3,,3.0,9.0
2017-02-15,3,,3.0,9.0
2017-02-16,3,,3.0,9.0
2017-02-17,3,,3.0,9.0
2017-02-18,1,,3.0,3.0
2017-02-19,2,6.0,3.0,6.0
2017-02-20,4,,3.0,12.0
2017-02-21,3,,3.0,9.0
2017-02-22,3,,3.0,9.0
2017-02-23,3,,3.0,9.0
2017-02-24,3,,3.0,9.0
2017-02-25,1,,3.0,3.0
2017-02-26,2,5.0,2.5,5.0
2017-02-27,2,,2.5,5.0
2017-02-28,2,,2.5,5.0
2017-03-01,2,,2.5,5.0
2017-03-02,3,,2.5,7.5
2017-03-03,2,,2.5,5.0
2017-03-04,2,,2.5,5.0
2017-03-05,2,6.0,3.0,6.0
2017-03-06,4,,3.0,12.0
2017-03-07,3,,3.0,9.0
2017-03-08,3,,3.0,9.0
2017-03-09,3,,3.0,9.0
2017-03-10,3,,3.0,9.0
2017-03-11,2,,3.0,6.0
2017-03-12,2,52.0,26.0,52.0
2017-03-13,3,,26.0,78.0
2017-03-14,3,,26.0,78.0
2017-03-15,3,,26.0,78.0
2017-03-16,3,,26.0,78.0
2017-03-17,58,,26.0,1508.0
2017-03-18,100,,26.0,2600.0
2017-03-19,46,55.0,1.1956521739130435,55.0
2017-03-20,38,,1.1956521739130435,45.43478260869565
2017-03-21,25,,1.1956521739130435,29.891304347826086
2017-03-22,19,,1.1956521739130435,22.717391304347824
2017-03-23,18,,1.1956521739130435,21.52173913043478
2017-03-24,12,,1.1956521739130435,14.347826086956522
2017-03-25,7,,1.1956521739130435,8.369565217391305
